Gene,logFC,AveExpr,P.Value,adj.P.Val,B
ISG15,2.9953339891985813,12.227785761429393,1.0935883980774256e-28,1.4040945972382092e-26,27.961146105863133
IFI27,2.067491105873889,13.695214246576363,1.2242375067819867e-28,1.5614298108022703e-26,27.91213431921771
SPINT1,2.0432285437431426,12.657783467641195,1.4022766845715433e-28,1.7767399123791677e-26,27.853166286849266
IKBKE,1.662244174023229,8.939940596671706,2.081218100355643e-28,2.6197502872385184e-26,27.681682405700087
TDRKH,1.441047324199613,8.433255233727282,2.4034789452911765e-28,3.005753312166414e-26,27.61915967798048
KIF18A,2.603840161947568,7.660052143758267,4.672854411549948e-28,5.806096974970351e-26,27.330417749736537
IFI6,2.679971741347619,13.232528749908932,5.323525185951649e-28,6.572164843348898e-26,27.27380068691579
PKM,1.3402177705024207,15.259614892152559,6.323661228650084e-28,7.757158700800763e-26,27.199031404152347
CDC6,2.8044089906875294,9.134047641729834,8.00479686953658e-28,9.757239424709175e-26,27.096649684301667
TPX2,3.232848075342221,10.772469745748062,1.240325168633168e-27,1.5023536114909548e-25,26.906464443523095
PGP,1.5833624340508354,9.292370299994413,1.2827611375168173e-27,1.544043546714774e-25,26.891854205913585
GOLT1A,2.4035418387738727,7.40817808618163,1.3154725908617142e-27,1.5735830203357613e-25,26.880918196427782
C12ORF56,2.6722607769333804,6.077398407775389,1.371367580911774e-27,1.630319027208633e-25,26.86284612145774
TMEM79,1.2379652956636968,8.353522489224543,1.5572155322949208e-27,1.839902695488827e-25,26.807651273104188
TBX20,4.802956156708976,1.8943817297854408,1.585644792410013e-27,1.8620690888429537e-25,26.799794094429352
NUF2,2.9745173081210488,8.365080708921209,1.796987910509155e-27,2.097466070817928e-25,26.745454844658877
PLEKHG6,2.0251007523868587,8.006363819087518,2.9504796761630846e-27,3.4230896435677616e-25,26.530107372572388
ASF1B,3.092495598620134,9.86419390032117,3.1409312359034716e-27,3.6222272258841295e-25,26.502941571463506
BSPRY,1.9977874909649236,9.34284321876071,5.8962803659447844e-27,6.759313307603012e-25,26.22942187411647
B3GNT3,3.5290084458441795,9.104547216462981,6.0582502556853e-27,6.903895957055811e-25,26.217652790689797
LSR,1.6649252137648343,12.53287145665569,6.78724470432219e-27,7.689149750620062e-25,26.168306492664872
TACC3,2.610939403951693,11.05240976467406,6.930809090857304e-27,7.805874402387182e-25,26.15921606363005
CKMT1A,2.556187666809264,6.242157768030567,7.097436121133746e-27,7.947065247495048e-25,26.148898507553632
ZYG11A,4.0120177259446965,5.561950688476291,7.274555701614347e-27,8.098304523548596e-25,26.138193526359863
SLC12A5,1.9740881015684164,5.331824349822339,9.448569706819268e-27,1.0436149243923297e-24,26.02463392857526
RAB19,2.0843954435864243,6.80358363152318,9.482974804956525e-27,1.0436149243923297e-24,26.023055403303765
PCSK9,3.3665753455803324,8.126515809858248,9.885052146446585e-27,1.0816830641387204e-24,26.00502103531801
SLC2A1,1.6634852081322684,12.437506486322414,1.1814130880870584e-26,1.285470884941732e-24,25.927598222192895
TACSTD2,2.122279053584775,12.834481420925023,1.413256764405821e-26,1.529096181218635e-24,25.849778927157715
CBLC,2.0601708182334786,9.457271984887967,1.4359257876447958e-26,1.5449438404609566e-24,25.842868004974783
PITX1,4.500206389659729,8.803992097254914,1.456036800321021e-26,1.557878485410141e-24,25.836827648392227
GINS1,2.268778884697681,8.98280419201806,1.5962290376112142e-26,1.698440609688087e-24,25.796904793039136
RHOV,2.9330292143514587,8.56152636228611,1.6168039336244568e-26,1.7108806020699677e-24,25.79134264286898
SPAG4,1.866750049972681,8.596328079554981,1.854663836539041e-26,1.9412484145600754e-24,25.731734796111596
ADGRV1,2.319559949427306,7.3755472623748695,1.847323430395598e-26,1.9412484145600754e-24,25.73345706138753
SPC24,2.936282039321187,9.24300481038584,1.884991607668283e-26,1.962327209301809e-24,25.724690579013345
ATP5J2,1.5027553040855128,10.68597387956934,2.0217769960354124e-26,2.093408772400323e-24,25.694266749206125
GIPC1,1.2241434014847532,12.40635470684597,2.136945509988426e-26,2.200825324966155e-24,25.670206551777465
FZD5,1.7026985962560486,9.722600991176876,2.3033829849297708e-26,2.3596198354660882e-24,25.63763384561669
TONSL,1.7150877157659101,9.714963883953034,2.5316941210931594e-26,2.5797829141869397e-24,25.596588766879798
E2F1,2.5739281521418547,9.328169073211395,2.5567860154613578e-26,2.5916390458826466e-24,25.59230561776683
E2F7,2.8690476474382898,7.560559006887116,2.631921252092023e-26,2.6420821718464498e-24,25.579727109090577
NACC1,1.3896562729939048,11.757007486218258,2.6339881457735e-26,2.6420821718464498e-24,25.579386183906028
NXPH4,4.971800885851999,7.8244126969062595,3.134498671247039e-26,3.1278398916863585e-24,25.503831909927815
HILPDA,1.7702617226143502,9.625203587852464,3.3455211378592807e-26,3.3212057522696845e-24,25.47553622179213
CENPA,3.2323696322256557,7.821665736685473,3.438284770071519e-26,3.395791096759353e-24,25.463658156459616
SAPCD2,3.013540002425677,9.236629284917363,3.700304336086666e-26,3.63592659228026e-24,25.431762555379592
CDC45,3.1471581328488067,8.450620610510883,4.189022895578806e-26,4.095248322129555e-24,25.377887265946644
USP18,1.7074280198959426,7.945094156949957,4.40942897508488e-26,4.288949122785844e-24,25.35561764840668
UQCC3,1.1460246372509046,8.647409702837178,5.086489062322138e-26,4.922647881972967e-24,25.293581885045768
PCLAF,2.911391168236269,8.221306435399065,5.596425342311778e-26,5.389077783379126e-24,25.25208928545987
NR2F6,1.519412085024184,11.705910600619202,6.230074712835036e-26,5.969403427586566e-24,25.205506745126154
CCNB2,2.9868889706185375,9.549366778990985,6.456556228751807e-26,6.155782990570843e-24,25.18999906244462
NCAPG,2.993900560002186,8.35432913048486,6.863932671822354e-26,6.5119447944151096e-24,25.163426985124303
DGAT2,1.9434083106245137,7.452472400966178,7.011014297250233e-26,6.618878644644228e-24,25.154219147249748
DIAPH3,2.9330321697415407,8.014004944202108,7.432811922190148e-26,6.982854868754149e-24,25.128846856325048
GDF15,2.651780723576235,10.892800036669616,1.0903438483310117e-25,1.0193656395634444e-23,24.96243652234939
B4GALT1,1.4258539562822043,13.547831864950123,1.1148845880297522e-25,1.0372735401384057e-23,24.952770088110054
TICRR,2.3453417915366472,7.96255482316136,1.1241509508154212e-25,1.0408664981612596e-23,24.9491753678555
DLGAP5,3.2252032786377334,8.929428057781362,1.172701304838365e-25,1.0806246138699555e-23,24.93081259161812
GPR158,3.65235062633994,5.361392109309406,1.181039724814869e-25,1.0831259076290267e-23,24.927735494445972
CDC25A,2.388034288659404,8.178974746446633,1.2984696413570711e-25,1.1851766266775277e-23,24.88656819986235
HAPLN3,2.0457346643977607,10.816246476639378,1.3342518855411715e-25,1.2120923143225199e-23,24.87476217478666
XG,2.293659518482083,7.290141992250323,1.3709616391785435e-25,1.2395939065229845e-23,24.862974697016583
HAPLN1,3.47585483563682,7.49310907912349,1.515412996869537e-25,1.3638008834911407e-23,24.819468992364065
ZNF750,3.3959591720362567,7.169093906471596,1.8241856274410542e-25,1.6340460929715006e-23,24.7389309703544
RAD54L,2.836903925403357,7.445427231878234,2.2247318646003985e-25,1.983616249089772e-23,24.652722324791682
GLYATL2,4.946313825871013,8.768468536869637,2.392746955027781e-25,2.123590488796315e-23,24.62110322777433
ULBP1,3.2454001499715277,4.768542852129988,2.60609966060062e-25,2.294449849641829e-23,24.584008980326686
MYCN,2.831499227306411,8.185911588743316,2.609089345612755e-25,2.294449849641829e-23,24.583511048672023
FASN,1.6104824449116906,12.716844788167311,2.6240495644029474e-25,2.2971168436743802e-23,24.581027966040505
PPFIA4,1.9477914621665504,7.693578768120658,2.722016946166963e-25,2.3720961251687575e-23,24.56510917538401
UHRF1,2.972241493462715,8.86969369731595,3.1001968364838566e-25,2.6894905799028195e-23,24.508610731235105
MYO10,1.537890578028486,11.376109680485442,3.87881341772001e-25,3.349868502774425e-23,24.41130111073341
AURKB,3.140658493878001,9.34188164414595,3.9021125619670796e-25,3.354945796023392e-23,24.408700206920976
C10ORF35,1.3617519022401585,8.456079682906214,4.339658637736243e-25,3.714554920184991e-23,24.36254443121978
EXO1,2.976421464841055,7.9023454732834235,4.515708293874241e-25,3.848142744766549e-23,24.345274120434517
DMBX1,5.686463650422726,6.228783021101857,4.739423950575756e-25,4.0209940909312106e-23,24.324274441087372
C2ORF54,3.026349546037008,7.890635971516093,5.848051039981655e-25,4.9398076745178377e-23,24.23298884564567
SLC52A2,1.5157385351056643,10.987118967285674,6.53982651921908e-25,5.500022660857654e-23,24.184433771973158
